Swimmer_ID,Time,Meet,Year,Date,Imp
172052,20.33,ACC Men's Championships, 2015,"Feb 26, 2015",+4.4%
172052,20.33,2015 Atlantic Coast Championships (M), 2015,"Feb 26, 2015",+4.4%
172052,21.37,Pittsburgh vs. West Virginia, 2015,"Jan 10, 2015",-0.5%
172052,21.50,"Notre Dame vs. Pittsburgh, Virginia Tech", 2014,"Nov 07, 2014",-1.1%
172052,21.28,"Georgia Tech vs. Georgia Southern, Pittsburgh", 2014,"Oct 18, 2014",-0.1%
172052,21.26,Pittsburgh vs. Duke, 2014,"Oct 11, 2014",NA
172052,20.64,2014 Atlantic Coast Conference Championships (M), 2014,"Feb 27, 2014",+1.4%
172052,21.61,"Pittsburgh vs. Denison, James Madison, North Carolina State", 2014,"Jan 18, 2014",-3.2%
172052,20.94,2013 AT&T Winter National Championships, 2013,"Dec 05, 2013",+0.8%
172052,21.25,Pittsburgh Invitational, 2013,"Nov 22, 2013",-0.7%
172052,21.25,Pitt Panthers Invitational, 2013,"Nov 22, 2013",-0.7%
172052,21.10,"Pittsburgh vs. Notre Dame, Virginia Tech", 2013,"Nov 09, 2013",+0.9%
172052,21.29,Bucknell vs. Pittsburgh, 2013,"Oct 26, 2013",+2.2%
172052,21.97,Saint Bonaventure vs. Pittsburgh, 2013,"Oct 19, 2013",NA
172052,21.76,Saint Bonaventure vs. Pittsburgh, 2013,"Oct 19, 2013",NA
172052,20.56,2013 Big East Conference Championships, 2013,"Feb 28, 2013",+1.2%
172052,20.57,2013 Big East Conference Championships, 2013,"Feb 28, 2013",+1.1%
172052,21.51,Villanova vs. Pittsburgh, 2013,"Jan 25, 2013",-3.4%
172052,22.09,Villanova vs. Pittsburgh, 2013,"Jan 25, 2013",-6.2%
172052,21.22,Pittsburgh vs. West Virginia, 2013,"Jan 12, 2013",-2.0%
172052,21.18,AT&T Winter National Championships, 2012,"Nov 29, 2012",-1.8%
172052,21.18,USA Swimming Winter Nationals, 2012,"Nov 29, 2012",-1.8%
172052,20.83,Pittsburgh Invitational, 2012,"Nov 16, 2012",NA
172052,20.80,Pittsburgh Invitational, 2012,"Nov 16, 2012",NA
172052,20.72,Big East Conference Championships, 2012,"Feb 16, 2012",+1.1%
172052,21.48,Virginia vs. Pittsburgh, 2012,"Jan 28, 2012",-2.5%
172052,21.59,Virginia vs. Pittsburgh, 2012,"Jan 28, 2012",-3.0%
172052,21.38,"Pittsburgh vs. Maryland, Richmond, Villanova", 2012,"Jan 14, 2012",-2.0%
172052,20.96,Pittsburgh Invitational, 2011,"Nov 18, 2011",+2.1%
172052,21.41,Pittsburgh vs. Louisville, 2011,"Nov 04, 2011",+0.2%
172052,21.46,Pittsburgh vs. Notre Dame, 2011,"Oct 28, 2011",+2.2%
172052,21.95,Saint Bonaventure vs. Pittsburgh, 2011,"Oct 22, 2011",-0.0%
172052,21.94,Buffalo vs. Pittsburgh, 2011,"Oct 21, 2011",NA
111837,20.67,2017 Atlantic Coast Championships (M), 2017,"Feb 28, 2017",+0.0%
111837,21.24,"Ohio State vs. Akron, Pittsburgh", 2017,"Jan 21, 2017",-2.7%
111837,21.39,AM TPIT 55th Annual Christmas Meet Invitational, 2016,"Dec 17, 2016",-3.4%
111837,21.42,AM TPIT 55th Annual Christmas Meet Invitational, 2016,"Dec 17, 2016",-3.6%
111837,20.78,Ohio State Invitational, 2016,"Nov 18, 2016",+1.1%
111837,20.68,Ohio State Invitational, 2016,"Nov 18, 2016",+1.6%
111837,21.17,"Pittsburgh vs. Notre Dame, Virginia Tech", 2016,"Nov 05, 2016",-0.8%
111837,21.01,Pittsburgh vs. SUNY Buffalo, 2016,"Oct 28, 2016",+1.3%
111837,21.31,Virginia vs. Pittsburgh, 2016,"Oct 21, 2016",-0.1%
111837,21.28,"Boston College vs. Georgia Tech, Pittsburgh", 2016,"Oct 08, 2016",NA
111837,20.41,2016 Atlantic Coast Championships (M), 2016,"Feb 25, 2016",+0.5%
111837,20.34,2016 Atlantic Coast Championships (M), 2016,"Feb 25, 2016",+0.9%
111837,20.75,Western PA Invitational, 2016,"Jan 30, 2016",-1.1%
111837,21.28,West Virginia vs. Pittsburgh, 2016,"Jan 09, 2016",-3.7%
111837,20.68,Big Al Open, 2015,"Dec 04, 2015",+1.1%
111837,20.52,Big Al Open, 2015,"Dec 04, 2015",+1.9%
111837,20.92,Pittsburgh Invitational, 2015,"Nov 20, 2015",+0.3%
111837,21.34,"Virginia Tech vs. Notre Dame, Pittsburgh", 2015,"Nov 07, 2015",-1.7%
111837,20.98,Pittsburgh vs. Georgia Tech, 2015,"Oct 17, 2015",NA
111837,20.79,ACC Men's Championships, 2015,"Feb 27, 2015",-0.9%
111837,20.61,ACC Men's Championships, 2015,"Feb 26, 2015",+2.0%
111837,20.79,2015 Atlantic Coast Championships (M), 2015,"Feb 27, 2015",-0.9%
111837,20.61,2015 Atlantic Coast Championships (M), 2015,"Feb 26, 2015",+2.0%
111837,21.60,"Denison vs. Ohio State, Pittsburgh", 2015,"Jan 17, 2015",-2.8%
111837,21.60,"Denison vs. Ohio State, Pittsburgh", 2015,"Jan 17, 2015",-2.8%
111837,21.36,"Denison vs. Ohio State, Pittsburgh", 2015,"Jan 17, 2015",-1.6%
111837,21.36,"Denison vs. Ohio State, Pittsburgh", 2015,"Jan 17, 2015",-1.6%
111837,21.19,Pittsburgh vs. West Virginia, 2015,"Jan 10, 2015",-0.8%
111837,21.06,Pittsburg Invitational, 2014,"Nov 21, 2014",-0.2%
111837,21.13,Pittsburg Invitational, 2014,"Nov 21, 2014",-0.5%
111837,21.28,Pittsburg Invitational, 2014,"Nov 21, 2014",-1.2%
111837,21.45,"Notre Dame vs. Pittsburgh, Virginia Tech", 2014,"Nov 07, 2014",-2.0%
111837,21.80,Bucknell vs. Pittsburgh, 2014,"Oct 25, 2014",-3.7%
111837,21.02,Pittsburgh vs. Saint Bonaventure, 2014,"Oct 24, 2014",NA
111837,21.03,2014 Eastern College Athletic Conference Championships, 2014,"Feb 28, 2014",+0.4%
111837,20.93,2014 Eastern College Athletic Conference Championships, 2014,"Feb 28, 2014",+0.9%
111837,21.49,Virginia vs. Pittsburgh, 2014,"Feb 08, 2014",-1.8%
111837,21.50,Virginia vs. Pittsburgh, 2014,"Feb 08, 2014",-1.8%
111837,21.36,Western Pennsylvania Invitational, 2014,"Feb 01, 2014",-1.1%
111837,21.66,West Virginia vs. Pittsburgh, 2014,"Jan 11, 2014",-2.6%
111837,21.36,Pittsburgh Invitational, 2013,"Nov 22, 2013",NA
111837,21.12,Pittsburgh Invitational, 2013,"Nov 22, 2013",NA
111837,21.36,Pitt Panthers Invitational, 2013,"Nov 22, 2013",NA
111837,21.12,Pitt Panthers Invitational, 2013,"Nov 22, 2013",NA
111837,21.11,2013 NCSA Junior National Championships, 2013,"Mar 16, 2013",NA
111837,21.06,2013 NCSA Junior National Championships, 2013,"Mar 16, 2013",NA
111837,21.53,2011 Speedo Short Course Junior Nationals, 2011,"Dec 08, 2011",NA
111837,22.09,"2011 Speedo Sectionals - Waukesha, WI", 2011,"Mar 12, 2011",NA
111837,21.77,"2011 Speedo Sectionals - Waukesha, WI", 2011,"Mar 12, 2011",NA
181673,21.98,Pittsburgh Invitational, 2013,"Nov 22, 2013",NA
181673,21.82,Pittsburgh Invitational, 2013,"Nov 22, 2013",NA
181673,21.98,Pitt Panthers Invitational, 2013,"Nov 22, 2013",NA
181673,21.82,Pitt Panthers Invitational, 2013,"Nov 22, 2013",NA
189666,22.51,AM TPIT 55th Annual Christmas Meet Invitational, 2016,"Dec 17, 2016",NA
189666,22.37,Pittsburgh vs. Georgia Tech, 2015,"Oct 17, 2015",NA
189666,22.63,"Notre Dame vs. Pittsburgh, Virginia Tech", 2014,"Nov 07, 2014",NA
189666,22.84,Western Pennsylvania Invitational, 2014,"Feb 01, 2014",NA
216642,21.48,2014 Eastern College Athletic Conference Championships, 2014,"Feb 28, 2014",+0.0%
216642,21.49,Pittsburgh Invitational, 2013,"Nov 22, 2013",NA
216642,21.71,Pittsburgh Invitational, 2013,"Nov 22, 2013",NA
216642,21.49,Pitt Panthers Invitational, 2013,"Nov 22, 2013",NA
216642,21.71,Pitt Panthers Invitational, 2013,"Nov 22, 2013",NA
216642,21.63,"2013 Speedo Champions Series - Christiansburg, VA", 2013,"Mar 24, 2013",-1.0%
216642,21.91,"2013 Speedo Champions Series - Christiansburg, VA", 2013,"Mar 23, 2013",-2.3%
216642,21.42,2012-13 Pennsylvania Boys & Girls AAA Championships, 2013,"Mar 13, 2013",NA
216642,21.86,2012 Middle Atlantic SC Senior Championship, 2012,"Mar 24, 2012",+2.6%
216642,22.07,2012 Middle Atlantic SC Senior Championship, 2012,"Mar 24, 2012",+1.6%
216642,22.44,Tom Dolan Invitational, 2011,"Dec 10, 2011",NA
216642,22.29,MIddle Atlantic Senior Championships, 2011,"Mar 26, 2011",NA
216642,22.29,MIddle Atlantic Senior Championships, 2011,"Mar 26, 2011",NA
158947,20.16,ACC Men's Championships, 2015,"Feb 27, 2015",-0.9%
158947,19.99,ACC Men's Championships, 2015,"Feb 26, 2015",+1.0%
158947,20.14,ACC Men's Championships, 2015,"Feb 26, 2015",+0.2%
158947,20.16,2015 Atlantic Coast Championships (M), 2015,"Feb 27, 2015",-0.9%
