Name,Swimmer_ID,Team,Year,Event,Event_Type,swim_type,Time,Improvement
Daniel Kelly,220049,Boston College,2014,50 Y Free,Prelims,swim,19.97,-0.7%
Daniel Kelly,220049,Boston College,2014,50 Y Free,Finals,swim,19.90,-0.4%
Daniel Kelly,220049,Boston College,2014,50 Y Free,Timed Finals,swim,18.90,NA
Daniel Kelly,220049,Boston College,2014,50 Y Free,Timed Finals,swim,19.78,+0.3%
Daniel Kelly,220049,Boston College,2014,100 Y Free,Prelims,swim,45.46,-0.6%
Daniel Kelly,220049,Boston College,2014,100 Y Free,Timed Finals,swim,44.35,NA
Daniel Kelly,220049,Boston College,2014,100 Y Fly,Prelims,swim,50.20,-0.5%
Anthony Richardson,230350,Boston College,2014,200 Y Free,Prelims,swim,1:42.91,-0.5%
Anthony Richardson,230350,Boston College,2014,200 Y Free,Timed Finals,swim,INV,NA
Anthony Richardson,230350,Boston College,2014,500 Y Free,Prelims,swim,4:39.87,+0.5%
Anthony Richardson,230350,Boston College,2014,1650 Y Free,Timed Finals,swim,16:16.84,-0.1%
Sean Murphy,153581,Boston College,2014,50 Y Back,Timed Finals,swim,23.58,+2.4%
Sean Murphy,153581,Boston College,2014,100 Y Back,Timed Finals,swim,50.31,-0.1%
Sean Murphy,153581,Boston College,2014,200 Y Back,Prelims,swim,1:48.94,+2.7%
Sean Murphy,153581,Boston College,2014,200 Y Back,Finals,swim,1:49.59,+2.1%
Sean Murphy,153581,Boston College,2014,100 Y Breast,Prelims,swim,55.85,+0.6%
Sean Murphy,153581,Boston College,2014,200 Y IM,Prelims,swim,1:49.82,+1.8%
Andrew Stranick,65704,Boston College,2014,50 Y Breast,Timed Finals,swim,24.92,NA
Andrew Stranick,65704,Boston College,2014,100 Y Breast,Prelims,swim,55.26,-0.8%
Andrew Stranick,65704,Boston College,2014,100 Y Breast,Timed Finals,swim,54.82,NA
Andrew Stranick,65704,Boston College,2014,200 Y Breast,Prelims,swim,2:01.69,+0.8%
Andrew Stranick,65704,Boston College,2014,200 Y IM,Prelims,swim,1:51.69,+0.1%
Nicholas Henze,203889,Boston College,2014,50 Y Free,Prelims,swim,21.04,-0.4%
Nicholas Henze,203889,Boston College,2014,50 Y Free,Timed Finals,swim,20.24,NA
Nicholas Henze,203889,Boston College,2014,100 Y Free,Prelims,swim,45.35,+0.6%
Nicholas Henze,203889,Boston College,2014,100 Y Free,Timed Finals,swim,44.35,NA
Nicholas Henze,203889,Boston College,2014,100 Y Free,Timed Finals,swim,45.51,+0.3%
Nicholas Henze,203889,Boston College,2014,200 Y Free,Prelims,swim,1:39.56,-0.5%
Nicholas Henze,203889,Boston College,2014,200 Y Free,Timed Finals,swim,INV,NA
Drew Cuttic,76191,Boston College,2014,100 Y Free,Prelims,swim,47.24,+3.2%
Drew Cuttic,76191,Boston College,2014,200 Y Free,Prelims,swim,1:42.71,-0.2%
Drew Cuttic,76191,Boston College,2014,200 Y Free,Timed Finals,swim,INV,NA
Drew Cuttic,76191,Boston College,2014,500 Y Free,Prelims,swim,4:40.51,-0.0%
Matthew Zerweck,163996,Boston College,2014,100 Y Free,Prelims,swim,46.98,+0.5%
Matthew Zerweck,163996,Boston College,2014,100 Y Free,Timed Finals,swim,46.12,NA
