Name,Team,FR,Events-FR,SO,Events-SO,JR,Events-JR,SR,Events-SR,Total Points
Alyssa Anderson,Boston College,28,3,20,3,31,3,23,3,102
Loren Ball,Boston College,,,,,,,,,0
Maureen Barron,Boston College,,,0,3,0,3,0,3,0
Bailey Brown,Boston College,,,,,,,,,0
Catherine Cole,Boston College,,,,,,,,,0
Samantha Couillard,Boston College,,,0,3,,,0,3,0
Kelly DiStefano,Boston College,,,,,,,,,0
Emily Downs,Boston College,0,3,0,3,,,,,0
Rachel Emodi,Boston College,,,,,,,,,0
Annie Fothergill,Boston College,,,,,0,3,0,3,0
Megan Fuqua,Boston College,,,,,,,,,0
Dana Hadra,Boston College,,,,,,,0,2,0
Kelsey Hawthorne,Boston College,,,,,,,,,0
Hanna Hunstad,Boston College,,,,,,,,,0
Madeleine Irwin,Boston College,,,,,,,,,0
Ann Kearns,Boston College,,,,,,,,,0
Rainey Kelly,Boston College,,,,,,,,,0
Abigail Kordell,Boston College,0,3,0,3,0,4,0,3,0
Gracie Kunkel,Boston College,0,3,0,3,0,3,0,3,0
Corinne Larkin,Boston College,,,,,0,2,0,2,0
Allison Lewandowski,Boston College,,,,,,,,,0
Allison Lloyd,Boston College,,,,,,,,,0
Lisa Lopez,Boston College,,,,,,,,,0
Annie MacKay,Boston College,,,,,,,,,0
Catherine MacKeen,Boston College,,,,,,,,,0
Madeline Mailliard,Boston College,0,4,0,3,0,3,0,3,0
Elizabeth Mangone,Boston College,,,,,,,,,0
Caroline Maniscalco,Boston College,,,,,,,,,0
Allie Manning,Boston College,,,,,0,4,,,0
Elizabeth Manning,Boston College,,,0,4,0,3,0,4,0
Caitlin Marks,Boston College,,,0,3,,,,,0
Alison McDonough,Boston College,,,,,0,3,0,3,0
Kelly McGrath,Boston College,,,,,0,4,0,3,0
Mackenzie Merriam,Boston College,0,3,,,,,,,0
Melissa Merwin,Boston College,,,,,0,4,0,4,0
Stephanie Ng,Boston College,,,,,,,,,0
Ellie O' Brien,Boston College,,,,,,,,,0
Kathryn Oskar,Boston College,,,,,0,2,,,0
Jordan Parry,Boston College,,,0,3,0,3,0,4,0
ASHLEIGH POPERA,Boston College,,,,,,,,,0
Kimberly Rich,Boston College,,,,,0,3,0,3,0
Allison Ridge,Boston College,,,,,,,,,0
Nicole Rodriquez,Boston College,,,,,,,,,0
Bella Salvatori,Boston College,,,,,,,,,0
Allyson Shurmur,Boston College,,,,,,,,,0
Andrea Smelser,Boston College,,,,,,,,,0
Katherine Vanasse,Boston College,,,,,,,,,0
Allison Viverette,Boston College,,,,,0,4,,,0
Marina Vranos,Boston College,,,0,2,,,0,2,0
Gillian Walsh,Boston College,,,,,,,,,0
Kelly Ward,Boston College,,,,,,,,,0
Kristen Webber,Boston College,,,,,,,,,0
Brittany Williford,Boston College,,,,,,,,,0
Molly Anderson,Boston College,,,,,,,,,0
Amanda Bieler,Boston College,2,3,0,3,,,,,2
Grace Gibbons,Boston College,0,3,,,,,,,0
Kelsey Golden,Boston College,,,,,,,,,0
Danielle Homere,Boston College,,,0,5,,,,,0
Emily Mann,Boston College,0,3,0,4,0,3,0,3,0
Alexandra Popera,Boston College,,,,,,,,,0
Caroline Quindlen,Boston College,0,4,0,4,0,4,0,4,0
Madeline Simone,Boston College,0,4,,,,,,,0
Emily Smith,Boston College,0,3,0,3,0,3,,,0
Kelsey Tague,Boston College,,,,,,,,,0
Maria Abrams,Boston College,,,,,0,3,,,0
Abigail Austin,Boston College,,,,,,,,,0
Elizabeth Canning,Boston College,,,,,,,,,0
Lindsay Caplan,Boston College,,,,,,,,,0
Sydney Dacey,Boston College,,,,,,,,,0
Julie Dobson,Boston College,,,0,3,0,3,,,0
Hope Dragelin,Boston College,0,4,,,,,,,0
Caroline Even,Boston College,,,,,0,3,,,0
Mary Fitzsimmons,Boston College,0,3,,,,,,,0
Margaret Flanagan,Boston College,,,,,,,,,0
Erika Freeman,Boston College,0,4,0,3,0,5,0,5,0
Kelsey Holmes,Boston College,,,,,,,,,0
Katherine Karle,Boston College,0,3,0,3,0,3,0,4,0
Cecilia O'Reilly,Boston College,,,,,0,2,,,0
Laura Packer,Boston College,,,,,,,,,0
