Name,Team,Swimmer_ID,hometown,Starting season,Power_Index,FR,Events-FR,Freshman_PPE,SO,Events-SO,Sophomore_ppe,JR,Events-JR,Junior_ppe,SR,Events-SR,Senior_ppe,Total_Points,Total_Events,Total_ppe
Alyssa Anderson,Boston College,210279,NY,17,69.94,28,3,9.333333333333334,20,3,6.666666666666667,31,3,10.333333333333334,30,3,10.0,109,12,9.083333333333334
Loren Ball,Boston College,184600,NJ,16,35.94,,,0,,,0,,,0,,,0,0,0,0
Maureen Barron,Boston College,174385,IL,16,8.43,,,0,0,3,0.0,0,3,0.0,0,3,0.0,0,9,0.0
Bailey Brown,Boston College,125689,MN,17,53.94,,,0,,,0,,,0,,,0,0,0,0
Catherine Cole,Boston College,125561,MN,17,33.95,,,0,,,0,,,0,,,0,0,0,0
Samantha Couillard,Boston College,244824,ME,16,39.44,,,0,0,3,0.0,,,0,0,3,0.0,0,6,0.0
Kelly DiStefano,Boston College,203834,CT,15,-1,,,0,,,0,,,0,,,0,0,0,0
Emily Downs,Boston College,244826,MA,17,21.45,0,3,0.0,0,3,0.0,,,0,,,0,0,6,0.0
Rachel Emodi,Boston College,294299,NJ,17,-1,,,0,,,0,,,0,,,0,0,0,0
Annie Fothergill,Boston College,124248,MA,15,33.45,,,0,,,0,0,3,0.0,0,3,0.0,0,6,0.0
Megan Fuqua,Boston College,287290,CA,17,41.59,,,0,,,0,,,0,,,0,0,0,0
Dana Hadra,Boston College,68583,CT,15,100.00,,,0,,,0,,,0,0,2,0.0,0,2,0.0
Kelsey Hawthorne,Boston College,200635,CA,17,38.96,,,0,,,0,,,0,,,0,0,0,0
Hanna Hunstad,Boston College,103301,MI,17,40.39,,,0,,,0,,,0,,,0,0,0,0
Madeleine Irwin,Boston College,58242,CT,15,69.94,,,0,,,0,,,0,,,0,0,0,0
Ann Kearns,Boston College,94028,CT,15,100.00,,,0,,,0,0,3,0.0,,,0,0,3,0.0
Rainey Kelly,Boston College,127269,MA,14,89.95,,,0,,,0,,,0,,,0,0,0,0
Abigail Kordell,Boston College,110228,IL,17,44.43,0,3,0.0,0,3,0.0,0,4,0.0,0,3,0.0,0,13,0.0
Gracie Kunkel,Boston College,112402,CT,17,44.94,0,3,0.0,0,3,0.0,0,3,0.0,0,3,0.0,0,12,0.0
Corinne Larkin,Boston College,198062,NJ,17,100.00,,,0,,,0,0,2,0.0,0,2,0.0,0,4,0.0
Allison Lewandowski,Boston College,148464,ME,15,70.44,,,0,,,0,,,0,,,0,0,0,0
Allison Lloyd,Boston College,226125,VA,17,38.74,,,0,,,0,,,0,,,0,0,0,0
Lisa Lopez,Boston College,246117,FL,15,73.94,,,0,,,0,,,0,,,0,0,0,0
Annie MacKay,Boston College,82232,OH,15,100.00,,,0,,,0,,,0,,,0,0,0,0
Catherine MacKeen,Boston College,127291,MA,14,73.44,,,0,,,0,,,0,,,0,0,0,0
Madeline Mailliard,Boston College,166438,TX,17,23.43,0,4,0.0,0,3,0.0,0,3,0.0,0,3,0.0,0,13,0.0
Elizabeth Mangone,Boston College,246118,AZ,16,100.00,,,0,,,0,,,0,,,0,0,0,0
Caroline Maniscalco,Boston College,204067,MA,14,-1,,,0,,,0,,,0,,,0,0,0,0
Allie Manning,Boston College,305146,PA,15,100.00,,,0,,,0,0,4,0.0,,,0,0,4,0.0
Elizabeth Manning,Boston College,124444,NJ,16,38.93,,,0,0,4,0.0,0,3,0.0,0,4,0.0,0,11,0.0
Caitlin Marks,Boston College,194209,NV,16,37.33,,,0,0,3,0.0,,,0,,,0,0,3,0.0
Alison McDonough,Boston College,244223,NC,17,38.80,,,0,,,0,0,3,0.0,0,3,0.0,0,6,0.0
Kelly McGrath,Boston College,116566,NY,15,36.43,,,0,,,0,0,4,0.0,0,3,0.0,0,7,0.0
Mackenzie Merriam,Boston College,200416,MN,17,30.98,0,3,0.0,,,0,,,0,,,0,0,3,0.0
Melissa Merwin,Boston College,149127,CT,15,27.94,,,0,,,0,0,4,0.0,0,4,0.0,0,8,0.0
Stephanie Ng,Boston College,149921,NJ,15,-1,,,0,,,0,,,0,,,0,0,0,0
Ellie O' Brien,Boston College,199840,PA,17,-1,,,0,,,0,,,0,,,0,0,0,0
Kathryn Oskar,Boston College,158774,MA,15,100.00,,,0,,,0,0,2,0.0,,,0,0,2,0.0
Jordan Parry,Boston College,79418,VA,16,36.94,,,0,0,3,0.0,0,3,0.0,0,4,0.0,0,10,0.0
ASHLEIGH POPERA,Boston College,226633,MD,16,67.94,,,0,,,0,,,0,,,0,0,0,0
Kimberly Rich,Boston College,108531,VA,15,25.95,,,0,,,0,0,3,0.0,0,3,0.0,0,6,0.0
Allison Ridge,Boston College,124605,OH,16,34.44,,,0,,,0,,,0,,,0,0,0,0
Nicole Rodriquez,Boston College,294315,USA,14,-1,,,0,,,0,,,0,,,0,0,0,0
Bella Salvatori,Boston College,201827,MD,14,44.52,,,0,,,0,,,0,,,0,0,0,0
Allyson Shurmur,Boston College,149197,MO,15,92.94,,,0,,,0,,,0,,,0,0,0,0
Andrea Smelser,Boston College,158776,CT,15,-1,,,0,,,0,,,0,,,0,0,0,0
Katherine Vanasse,Boston College,244833,MA,16,33.46,,,0,,,0,,,0,,,0,0,0,0
Allison Viverette,Boston College,203848,PA,15,31.43,,,0,,,0,0,4,0.0,,,0,0,4,0.0
Marina Vranos,Boston College,197757,MA,16,100.00,,,0,0,2,0.0,,,0,0,2,0.0,0,4,0.0
Gillian Walsh,Boston College,166888,MA,15,-1,,,0,,,0,,,0,,,0,0,0,0
Kelly Ward,Boston College,294317,USA,14,-1,,,0,,,0,,,0,,,0,0,0,0
