Name,Swimmer_ID,Team,Year,Event,Event_Type,swim_type,Time,Improvement
Maureen Barron,174385,Boston College,2014,50 Y Free,Prelims,swim,23.29,+2.3%
Maureen Barron,174385,Boston College,2014,50 Y Free,Timed Finals,swim,23.24,NA
Maureen Barron,174385,Boston College,2014,50 Y Free,Timed Finals,swim,23.48,+1.5%
Maureen Barron,174385,Boston College,2014,100 Y Free,Prelims,swim,51.02,+0.9%
Maureen Barron,174385,Boston College,2014,100 Y Free,Timed Finals,swim,51.11,NA
Maureen Barron,174385,Boston College,2014,100 Y Free,Timed Finals,swim,INV,NA
Maureen Barron,174385,Boston College,2014,100 Y Breast,Prelims,swim,1:07.39,+4.9%
Emily Downs,244826,Boston College,2014,50 Y Free,Prelims,swim,24.15,+1.5%
Emily Downs,244826,Boston College,2014,50 Y Free,Timed Finals,swim,23.55,NA
Emily Downs,244826,Boston College,2014,100 Y Free,Prelims,swim,52.48,-0.5%
Emily Downs,244826,Boston College,2014,100 Y Free,Timed Finals,swim,INV,NA
Emily Downs,244826,Boston College,2014,200 Y Free,Prelims,swim,1:53.59,-1.7%
Emily Downs,244826,Boston College,2014,200 Y Free,Timed Finals,swim,1:51.65,+2.1%
Jordan Parry,79418,Boston College,2014,50 Y Fly,Timed Finals,swim,25.01,NA
Jordan Parry,79418,Boston College,2014,100 Y Fly,Prelims,swim,56.48,-0.1%
Jordan Parry,79418,Boston College,2014,100 Y Fly,Timed Finals,swim,55.85,NA
Jordan Parry,79418,Boston College,2014,200 Y Fly,Prelims,swim,2:05.62,+1.6%
Jordan Parry,79418,Boston College,2014,200 Y IM,Prelims,swim,2:10.57,+0.5%
Annie Fothergill,124248,Boston College,2014,50 Y Free,Prelims,swim,24.28,+1.3%
Annie Fothergill,124248,Boston College,2014,50 Y Free,Timed Finals,swim,23.57,NA
Annie Fothergill,124248,Boston College,2014,100 Y Free,Prelims,swim,52.80,+0.8%
Annie Fothergill,124248,Boston College,2014,100 Y Free,Timed Finals,swim,INV,NA
Annie Fothergill,124248,Boston College,2014,100 Y Fly,Timed Finals,swim,57.62,+1.2%
Annie Fothergill,124248,Boston College,2014,100 Y Fly,Prelims,swim,57.85,+0.8%
Samantha Couillard,244824,Boston College,2014,50 Y Breast,Timed Finals,swim,30.66,NA
Samantha Couillard,244824,Boston College,2014,100 Y Breast,Prelims,swim,1:05.89,-0.0%
Samantha Couillard,244824,Boston College,2014,200 Y Breast,Timed Finals,swim,2:22.24,-1.3%
