Name,Team,FR,Events-FR,SO,Events-SO,JR,Events-JR,SR,Events-SR,Total Points
Timothy Benage,Boston College,,,,,75,3,18,3,93
Brett Bonzell,Boston College,0,3,,,,,,,0
Caleb Bower,Boston College,,,,,,,,,0
Michael Bryant,Boston College,,,,,0,3,,,0
Ryan Cahalane,Boston College,,,,,,,,,0
Jason Castillo,Boston College,,,,,,,,,0
Connor Chamness,Boston College,0,3,0,4,0,3,0,3,0
Joseph Costa,Boston College,,,,,,,,,0
Drew Cuttic,Boston College,,,0,3,0,3,,,0
Joseph Devlin,Boston College,,,,,,,,,0
Daniel Faugno-Fusci,Boston College,,,,,,,,,0
Kieran Fitzpatrick,Boston College,,,,,,,,,0
Nicholas Henze,Boston College,,,,,0,3,2,3,2
Ryan Herron,Boston College,,,,,,,,,0
David Howard,Boston College,0,3,0,3,0,3,0,3,0
David Hunter,Boston College,,,0,3,0,3,0,3,0
Robert Johnson,Boston College,,,,,,,0,3,0
Luke Keffer,Boston College,,,,,,,,,0
Daniel Kelly,Boston College,,,15,3,7,3,16,4,38
Cole Malatesta,Boston College,0,2,6,3,10,2,0,2,16
Jack McCarthy,Boston College,0,2,0,2,0,2,0,2,0
Richard Mcdonnell,Boston College,0,3,,,,,,,0
Shawn McNiff,Boston College,,,,,,,,,0
Sean Murphy,Boston College,,,,,1,5,,,1
Grant Neil,Boston College,,,,,,,,,0
Ryan Reede,Boston College,,,,,,,,,0
Anthony Richardson,Boston College,3,3,0,6,0,4,0,4,3
Alexander Rudolph,Boston College,,,,,,,0,3,0
Kenneth Rudolph,Boston College,,,,,,,0,3,0
David Rusyniak,Boston College,,,,,,,,,0
Estephan Saliba,Boston College,,,0,3,0,3,,,0
Patrick Scordato,Boston College,,,,,,,,,0
Patrick Sheerin,Boston College,,,,,,,,,0
Carter Smith,Boston College,,,,,,,,,0
Andrew Stranick,Boston College,,,,,0,3,4,3,4
Brendan Sweeney,Boston College,,,,,,,,,0
Joshua Williams,Boston College,0,3,0,3,0,4,0,4,0
Michael Woodbury,Boston College,,,,,,,,,0
Matthew Zerweck,Boston College,,,0,3,0,4,0,3,0
Aram Barmakian,Boston College,,,,,,,,,0
Mathew Brennan,Boston College,,,,,,,,,0
Mckenzie Cole,Boston College,,,0,4,0,3,0,4,0
Ian Cooper,Boston College,,,,,,,14,3,14
Daniel Creighton,Boston College,,,0,4,0,3,0,4,0
Cameron Howe,Boston College,,,,,,,,,0
Nicolas Junghahn,Boston College,0,4,0,3,0,3,0,3,0
Joshua Lacey,Boston College,,,,,,,,,0
Kevin McCoy,Boston College,0,4,0,4,0,3,0,6,0
John Mooers,Boston College,0,3,0,3,0,3,,,0
Fernando Saenz Del Villar,Boston College,,,,,,,,,0
Kyle Zarriello,Boston College,,,,,,,,,0
Taylor Cortens,Boston College,0,5,5,3,4,6,20,5,29
Grant Dalton,Boston College,,,,,,,,,0
Colin Derdeyn,Boston College,0,3,0,3,0,3,0,3,0
Landon Futch,Boston College,,,0,3,,,,,0
Nathaniel Greeley,Boston College,,,,,,,,,0
Arthur Hidalgo,Boston College,,,,,,,,,0
Charles Kleinsmith,Boston College,,,0,3,0,4,11,4,11
Robert McCrory,Boston College,,,,,,,0,2,0
Nicholas Miller,Boston College,,,0,3,0,4,0,4,0
Keating Mosher,Boston College,0,3,0,3,,,,,0
Denis Reznik,Boston College,,,,,,,,,0
Jackson Rotondo,Boston College,,,,,0,2,,,0
Matthew Sabal,Boston College,,,,,,,,,0
Peter Tomljanovic,Boston College,,,,,,,,,0
Cole Vanderwel,Boston College,0,4,,,,,,,0
Matthew Amedeo,Boston College,,,,,,,,,0
Matthew Denave,Boston College,,,,,,,,,0
Jonathan Farah,Boston College,,,,,0,4,0,4,0
Sami Fares,Boston College,,,,,0,2,0,2,0
Brendan Gatward,Boston College,0,3,0,4,,,,,0
Christian Gillette,Boston College,,,,,,,,,0
Michael Hinton,Boston College,0,3,0,3,0,3,0,3,0
Evan O'Mara,Boston College,,,0,3,,,,,0
Lucas Saliba,Boston College,,,0,4,,,,,0
Michael Spence,Boston College,,,,,,,,,0
Griffin Taylor,Boston College,,,,,,,,,0
Maxwell Threlkeld,Boston College,,,0,4,,,0,3,0
Peter Bankes,Boston College,,,,,,,,,0
Kevin Chandra,Boston College,,,0,3,,,,,0
Zachary Maher,Boston College,,,,,,,,,0
Colin O'Leary,Boston College,3,4,0,4,0,3,,,3
Alexander Santana,Boston College,0,4,0,3,0,4,,,0
Edward Schlehr,Boston College,,,,,,,,,0
Matthew Shelton,Boston College,0,4,0,3,0,3,,,0
Peter Shepanzyk,Boston College,0,3,0,3,0,2,,,0
William Suchy,Boston College,0,4,0,3,0,3,,,0
Paul Boyce,Boston College,,,,,0,3,,,0
Oliver Brown,Boston College,,,,,,,,,0
Talmage Corey,Boston College,,,,,,,,,0
John Fenton,Boston College,,,,,,,,,0
Damion Geoghegan Ribeiro,Boston College,,,0,3,,,,,0
Tyler Gruwell,Boston College,0,4,,,,,,,0
Cole Gvozdas,Boston College,0,3,0,4,,,,,0
Ryan Price,Boston College,0,3,0,3,,,,,0
Andrew Revers,Boston College,,,,,,,,,0
Samuel Roche,Boston College,0,3,4,3,,,,,4
Alex Shehab,Boston College,0,2,,,,,,,0
Matt Clark,Boston College,0,3,,,,,,,0
Aleksej Cupic,Boston College,,,,,,,,,0
Ian Fitzpatrick,Boston College,,,,,,,,,0
Dale Nickerson,Boston College,0,2,,,,,,,0
Matthew Szekely,Boston College,0,6,,,,,,,0
Zach Szmania,Boston College,0,3,,,,,,,0
Stephan Todorovic,Boston College,0,3,,,,,,,0
Delaney Brock,Duke University,,,,,,,,,0
Jack Carey,Duke University,,,,,,,0,3,0
Victor Chen,Duke University,,,0,3,0,3,10,3,10
Rahul Chokshi,Duke University,,,,,,,,,0
Bradley Cline,Duke University,21,3,23,3,2,3,1,3,47
Romain Decrop,Duke University,,,,,,,,,0
Jonathan Derlath,Duke University,,,,,,,,,0
Evrim Ersu,Duke University,,,,,,,,,0
Tyler Fleming,Duke University,,,,,,,,,0
Kevin Fraser,Duke University,0,3,,,,,,,0
Hunter Knight,Duke University,,,,,50,3,,,50
Stefan Knight,Duke University,,,,,,,0,3,0
Peter Kropp,Duke University,30,3,32,3,36,3,52,3,150
Joseph Maginnis,Duke University,1,3,1,4,,,12,3,14
Nicholas McCrory,Duke University,,,,,,,96,3,96
Patrick Miller,Duke University,56,3,66,4,22,4,28,4,172
Tze Ng,Duke University,,,,,,,,,0
Benedict Parfit,Duke University,,,,,,,,,0
Dylan Payne,Duke University,0,3,12,3,20,3,24,2,56
James Peek,Duke University,,,,,,,40,3,40
Cole Plambeck,Duke University,,,,,,,11,3,11
Ryan Prince,Duke University,,,,,,,,,0
Deon Reid,Duke University,,,18,3,,,,,18
Clay Sanders,Duke University,,,,,2,3,0,3,2
Michael Seaberg,Duke University,0,3,0,3,24,3,2,3,26
Samuel Sherman,Duke University,,,,,,,4,3,4
Lucas Suchomel,Duke University,,,,,,,,,0
Kazumu Takabayashi,Duke University,10,4,9,4,32,4,17,4,68
Tyler Toren,Duke University,,,,,0,3,0,3,0
Adriaan Venter,Duke University,,,,,,,,,0
David Armstrong,Duke University,,,,,4,3,17,3,21
Nicholas Bigot,Duke University,0,3,0,3,,,0,3,0
Michael Camarda,Duke University,,,,,,,,,0
John Forese,Duke University,,,,,,,,,0
Joshua Furth,Duke University,,,,,,,,,0
Marco Hosfeld,Duke University,0,3,,,,,,,0
Matthew Johnson,Duke University,,,18,3,34,3,17,3,69
Ryan Nicholson,Duke University,,,,,,,,,0
John Pearson,Duke University,,,,,,,,,0
Alexander Pena,Duke University,3,3,,,5,3,0,3,8
Robert Christensen,Duke University,3,3,,,,,,,3
Riley Hickman,Duke University,24,3,,,1,3,0,3,25
Judson Howard,Duke University,32,3,30,3,60,3,64,3,186
Yusuke Legard,Duke University,0,3,10,3,17,3,20,3,47
Evan Moretti,Duke University,52,3,23,3,69,3,77,3,221
Joshua Owsiany,Duke University,27,3,31,3,33,3,15,3,106
Maximilian St. George,Duke University,,,,,,,,,0
Sean Tate,Duke University,5,3,6,3,11,3,22,3,44
Sheldon Boboff,Duke University,,,6,3,10,3,19,3,35
Nathaniel Hernandez,Duke University,59,3,63,3,67,3,72,3,261
Roger Kriegl,Duke University,23,3,,,,,,,23
Daichi Matsuda,Duke University,,,0,3,0,4,0,3,0
Christopher Murphy,Duke University,0,3,,,,,,,0
Emir Ozsuer,Duke University,,,,,,,,,0
Noah Stevens,Duke University,,,0,4,,,,,0
Eric Strickland,Duke University,,,,,,,,,0
Miles Williams,Duke University,0,3,42,3,55,3,47,4,144
NATHANIEL HARTLEY,Duke University,2,3,7,4,7,3,,,16
Spencer Lafata,Duke University,2,3,2,3,0,3,,,4
Zachary Washart,Duke University,0,3,0,3,0,3,,,0
Tianyi Zeng,Duke University,47,3,,,,,,,47
Adam Zimmer,Duke University,0,3,10,3,5,3,,,15
Harel Anolick,Duke University,11,3,6,3,,,,,17
John Day,Duke University,,,,,,,,,0
David Hallaron,Duke University,0,3,0,3,,,,,0
Cole Reznick,Duke University,1,3,22,3,,,,,23
Everett Werner,Duke University,0,3,2,3,,,,,2
Matthew Whelan,Duke University,,,0,3,,,,,0
Henry Wu,Duke University,,,5,3,,,,,5
Colson Zucker,Duke University,0,3,11,3,,,,,11
Jonah Cagley,Duke University,24,3,,,,,,,24
Christopher Dalla Valle,Duke University,0,4,,,,,,,0
Brendan Driscoll,Duke University,,,,,,,,,0
Charlie Gingrich,Duke University,1,3,,,,,,,1
