Name,Team,Swimmer_ID,hometown,Starting season,Power_Index,FR,Events-FR,Freshman_PPE,SO,Events-SO,Sophomore_ppe,JR,Events-JR,Junior_ppe,SR,Events-SR,Senior_ppe,Total_Points,Total_Events,Total_ppe
Timothy Benage,Boston College,149175,MO,15,22.44,,,0,,,0,75,3,25.0,12,3,4.0,87,6,14.5
Brett Bonzell,Boston College,142346,CA,17,26.26,0,3,0.0,,,0,,,0,,,0,0,3,0.0
Caleb Bower,Boston College,203887,MA,15,61.95,,,0,,,0,,,0,,,0,0,0,0
Michael Bryant,Boston College,111500,GA,15,13.42,,,0,,,0,0,3,0.0,,,0,0,3,0.0
Ryan Cahalane,Boston College,124097,CT,15,64.44,,,0,,,0,,,0,,,0,0,0,0
Jason Castillo,Boston College,204104,USA,15,-1,,,0,,,0,,,0,,,0,0,0,0
Connor Chamness,Boston College,270486,VA,17,37.93,0,3,0.0,0,4,0.0,0,3,0.0,0,3,0.0,0,13,0.0
Joseph Costa,Boston College,192748,CA,15,18.22,,,0,,,0,,,0,,,0,0,0,0
Drew Cuttic,Boston College,76191,GA,16,28.39,,,0,0,3,0.0,0,3,0.0,,,0,0,6,0.0
Joseph Devlin,Boston College,259582,MD,15,77.45,,,0,,,0,,,0,,,0,0,0,0
Daniel Faugno-Fusci,Boston College,129144,CT,15,-1,,,0,,,0,,,0,,,0,0,0,0
Kieran Fitzpatrick,Boston College,181069,NY,17,27.26,,,0,,,0,,,0,,,0,0,0,0
Nicholas Henze,Boston College,203889,CA,15,9.95,,,0,,,0,0,3,0.0,2,3,0.6666666666666666,2,6,0.3333333333333333
Ryan Herron,Boston College,204136,CT,15,100.00,,,0,,,0,,,0,,,0,0,0,0
David Howard,Boston College,199798,NY,17,21.43,0,3,0.0,0,3,0.0,0,3,0.0,0,3,0.0,0,12,0.0
David Hunter,Boston College,150324,MA,16,42.93,,,0,0,3,0.0,0,3,0.0,0,3,0.0,0,9,0.0
Robert Johnson,Boston College,409682,NY,14,100.00,,,0,,,0,,,0,0,3,0.0,0,3,0.0
Luke Keffer,Boston College,37417,CA,15,18.94,,,0,,,0,,,0,,,0,0,0,0
Daniel Kelly,Boston College,220049,IL,16,58.45,,,0,15,3,5.0,7,3,2.3333333333333335,16,4,4.0,38,10,3.8
Cole Malatesta,Boston College,231670,MA,17,-1,0,2,0.0,6,3,2.0,10,2,5.0,0,2,0.0,16,9,1.7777777777777777
Jack McCarthy,Boston College,295536,MA,17,100.00,0,2,0.0,0,2,0.0,0,2,0.0,0,2,0.0,0,8,0.0
Richard Mcdonnell,Boston College,216000,NY,17,-1,0,3,0.0,,,0,,,0,,,0,0,3,0.0
Shawn McNiff,Boston College,247034,MA,16,100.00,,,0,,,0,,,0,,,0,0,0,0
Sean Murphy,Boston College,153581,NJ,15,63.44,,,0,,,0,1,5,0.2,,,0,1,5,0.2
Grant Neil,Boston College,236828,WA,14,-1,,,0,,,0,,,0,,,0,0,0,0
Ryan Reede,Boston College,201857,CA,16,86.45,,,0,,,0,,,0,,,0,0,0,0
Anthony Richardson,Boston College,230350,PA,17,20.25,3,3,1.0,0,6,0.0,0,4,0.0,0,4,0.0,3,17,0.17647058823529413
Alexander Rudolph,Boston College,295537,VA,14,-1,,,0,,,0,,,0,0,3,0.0,0,3,0.0
Kenneth Rudolph,Boston College,203890,VA,15,-1,,,0,,,0,,,0,0,3,0.0,0,3,0.0
David Rusyniak,Boston College,297789,USA,14,-1,,,0,,,0,,,0,,,0,0,0,0
Estephan Saliba,Boston College,206149,CA,16,24.10,,,0,0,3,0.0,0,3,0.0,,,0,0,6,0.0
Patrick Scordato,Boston College,177619,MD,14,19.92,,,0,,,0,,,0,,,0,0,0,0
Patrick Sheerin,Boston College,177171,MD,17,35.28,,,0,,,0,,,0,,,0,0,0,0
Carter Smith,Boston College,123823,AZ,15,38.43,,,0,,,0,,,0,,,0,0,0,0
Andrew Stranick,Boston College,65704,NC,15,9.91,,,0,,,0,0,3,0.0,4,3,1.3333333333333333,4,6,0.6666666666666666
Brendan Sweeney,Boston College,244832,MA,16,-1,,,0,,,0,,,0,,,0,0,0,0
Joshua Williams,Boston College,148008,ME,17,29.43,0,3,0.0,0,3,0.0,0,4,0.0,0,4,0.0,0,14,0.0
Michael Woodbury,Boston College,159193,MA,15,-1,,,0,,,0,,,0,,,0,0,0,0
Matthew Zerweck,Boston College,163996,CA,16,21.04,,,0,0,3,0.0,0,4,0.0,0,3,0.0,0,10,0.0
Aram Barmakian,Boston College,234029,NJ,15,21.43,,,0,,,0,,,0,,,0,0,0,0
Mathew Brennan,Boston College,329214,NY,18,-1,,,0,,,0,,,0,,,0,0,0,0
Mckenzie Cole,Boston College,233612,NC,18,25.93,,,0,0,4,0.0,0,3,0.0,0,4,0.0,0,11,0.0
Ian Cooper,Boston College,360425,MA,15,-1,,,0,,,0,,,0,,,0,0,0,0
Daniel Creighton,Boston College,219834,IL,18,28.43,,,0,0,4,0.0,0,3,0.0,0,4,0.0,0,11,0.0
Cameron Howe,Boston College,271047,IN,15,59.95,,,0,,,0,,,0,,,0,0,0,0
Nicolas Junghahn,Boston College,291859,FL,18,23.58,0,4,0.0,0,3,0.0,0,3,0.0,0,3,0.0,0,13,0.0
Joshua Lacey,Boston College,182564,NY,18,23.79,,,0,,,0,,,0,,,0,0,0,0
Kevin McCoy,Boston College,220440,MD,18,48.93,0,4,0.0,0,4,0.0,0,3,0.0,0,6,0.0,0,17,0.0
John Mooers,Boston College,177613,MD,18,12.07,0,3,0.0,0,3,0.0,0,3,0.0,,,0,0,9,0.0
Fernando Saenz Del Villar,Boston College,322837,TX,18,24.22,,,0,,,0,,,0,,,0,0,0,0
